mcarm_5,mcarm_12,mcarm_3,mcarm_9,mcarm_20,mcarm_21,mcarm_11,mcarm_8,mcarm_2,mcarm_6,mcarm_19,mcarm_16,mcarm_10,mcarm_1,mcarm_13,mcarm_4,mcarm_14,mcarm_18,mcarm_17,mcarm_7,mcarm_15,mcarm_purpose_connection,mcarm_help_seeking,mcarm_beliefs_about_civilians,mcarm_resentment_regret,mcarm_regimentation,mcarm_total,wis_interdependent_11,wis_private_1,wis_family_19,wis_private_4,wis_skills_30,wis_connection_15,wis_private_5,wis_centrality_24,wis_private_7,wis_connection_17,wis_skills_31,wis_interdependent_10,wis_private_2,wis_private_6,wis_public_28,wis_public_27,wis_interdependent_12,wis_family_18,wis_public_26,wis_interdependent_9,wis_skills_29,wis_family_20,wis_centrality_23,wis_centrality_21,wis_interdependent_13,wis_centrality_22,wis_interdependent_8,wis_connection_16,wis_public_25,wis_interdependent_14,wis_private_3,wis_private_regard_total,wis_interdependent_total,wis_connection_total,wis_family_total,wis_centrality_total,wis_public_regard_total,wis_skills_total,wis_total,race_asian,race_native,race_black,race_latino,race_mena,race_pacific,race_white,race_other,race_multiple,race,rank_e1_e3,rank_e4_e6,rank_e7_e9,rank_w1_cw5,rank_o1_o3,rank_o4_o6,sex,sex_4_TEXT,sexual_orientation,sexual_orientation_6_TEXT,sex_female,sex_male,sex_nonbinary,sex_other,sexual_orientation_straight,sexual_orientation_gay,sexual_orientation_bi,sexual_orientation_other,service_era_post_wwii,service_era_korea,service_era_cold_war,service_era_vietnam,service_era_persian_gulf,service_era_post_911,service_era_multiple,service_era,military_exp_combat,military_exp_noncombat,military_exp_support,military_exp_peacekeeping,military_exp_total,military_exp_none,military_exp_any,branch_air_force,branch_army,branch_coast_guard,branch_marines,branch_navy,branch_space_force,branch_public_health,branch_none,branch_multiple,branch,discharge_reason,discharge_other,discharge_medical,discharge_unexpected,disability,disability_percent,enlisted,n_deploy,age_range,education,employment,marital,years_service,years_separation,pc_ptsd_positive_screen,mios_screener,years_of_age
2,1,3,3,5,5,1,3,4,1,5,5,4,4,2,3,2,3,3,4,5,17,14,4,12,21,68,4,4,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,27,28,9,12,16,16,9,117,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.1,1,12,"(54.5,64.5]",High school diploma or equivalent,Retired,Married,23,14,0,0,56
4,5,5,4,4,4,1,5,5,5,2,5,4,5,4,5,3,4,5,5,4,29,18,10,12,19,88,2,3,2,3,2,3,3,4,3,3,2,2,3,3,3,3,3,3,3,3,3,1,3,2,3,2,2,3,3,3,3,21,18,9,6,11,12,7,84,0,0,1,0,0,0,0,0,0,Black or African American,0,0,1,0,0,0,female,NA,gay,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Post-9/11,1,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,1,0.1,1,3,"(34.5,44.5]",Masters degree,Part Time,Divorced,10,6,0,1,43
2,1,4,4,3,2,1,5,5,1,3,4,4,4,2,3,1,2,4,5,2,19,18,4,7,14,62,3,4,2,4,2,3,3,3,4,4,2,3,4,4,2,2,3,3,2,2,4,2,3,3,2,3,3,2,2,2,3,26,18,9,7,12,8,8,88,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.1,1,2,"(44.5,54.5]",Some college,Retired,Married,20,1,0,1,50
5,2,4,1,4,2,4,4,4,4,2,4,4,4,4,4,3,4,4,4,2,25,13,10,9,16,73,2,3,2,4,3,3,3,2,4,2,3,2,4,4,3,3,2,3,3,3,4,3,2,3,2,3,3,3,3,4,4,26,18,8,8,10,12,10,92,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.4,1,20,"(54.5,64.5]",Masters degree,Full Time,Married,23,13,0,0,58
2,4,3,1,3,4,2,3,5,3,2,5,4,3,2,2,2,2,5,2,5,18,10,8,12,16,64,3,4,4,4,4,4,4,2,4,2,4,4,4,4,3,4,4,4,3,4,4,3,1,1,4,4,4,4,4,4,4,28,27,10,11,8,14,12,110,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,0,0,1,4,"(34.5,44.5]",Bachelors degree,Full Time,Married,8,4,1,1,37
5,1,5,4,4,2,3,5,4,2,1,4,5,5,1,4,1,4,5,5,1,25,19,5,6,16,71,4,4,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,28,28,12,9,14,14,12,117,0,0,0,1,0,0,0,0,0,"Hispanic, Latino, or Spanish origin",0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,1,1,1,1,4,0,1,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,1,0.1,1,9,"(44.5,54.5]",Some college,Retired,Married,21,7,1,1,48
2,1,2,2,4,2,2,5,3,2,3,1,4,4,1,1,1,4,3,4,1,14,15,4,3,16,52,2,3,3,3,4,3,2,2,3,4,4,3,3,4,2,3,4,3,3,3,3,3,4,4,3,3,3,3,2,3,4,22,21,10,9,13,10,11,96,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,1,0.9,1,1,"(44.5,54.5]",Bachelors degree,Retired,Divorced,24,3,1,1,48
5,2,3,1,2,3,2,3,5,1,2,5,5,3,1,3,1,1,4,1,5,20,10,5,11,12,58,2,4,4,4,4,3,4,2,4,4,3,2,4,4,1,2,3,3,1,2,3,2,2,3,2,3,3,3,2,2,3,27,16,10,9,10,6,10,88,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,Air Force,Service Completed,0,0,0,0,0,1,4,"(54.5,64.5]",Masters degree,Full Time,Married,20,18,0,1,63
3,3,4,2,4,3,1,4,4,4,2,4,4,4,4,4,2,2,3,5,2,23,15,8,8,14,68,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,23,21,9,9,12,13,9,96,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,1,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,Navy,Medical Discharge,0,1,1,1,0.7,1,5,"(54.5,64.5]",Some college,Unemployed,Married,14,23,0,1,57
5,2,5,1,2,2,2,1,5,5,1,5,5,5,1,5,1,2,5,5,5,30,12,5,11,12,70,3,4,4,4,3,4,4,1,4,4,4,4,4,4,2,4,4,3,4,4,4,4,2,2,4,3,4,4,3,4,4,28,27,12,11,8,13,11,110,0,0,0,0,0,0,1,0,0,White,0,0,1,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,Cold War,1,1,1,1,4,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,1,0.8,1,4,"(64.5,74.5]",Bachelors degree,Retired,Married,20,20,0,0,65
